Month,Region,ProductCategory,Revenue,Orders,Returns,MarketingCost,CustomerSatisfaction
2026-01,Seoul,Electronics,125000,830,15,12000,4.5
2026-01,Busan,Electronics,89000,610,12,8500,4.3
2026-01,Daegu,Electronics,74000,520,10,7000,4.2
2026-01,Seoul,Beauty,98000,1250,25,9000,4.6
2026-01,Busan,Beauty,71000,910,18,6500,4.4
2026-01,Daegu,Beauty,53000,710,15,5000,4.3
2026-02,Seoul,Electronics,132000,880,16,12500,4.5
2026-02,Busan,Electronics,93000,640,13,8800,4.3
2026-02,Daegu,Electronics,77000,550,11,7200,4.2
2026-02,Seoul,Beauty,103000,1310,26,9500,4.6
2026-02,Busan,Beauty,75000,950,19,6800,4.4
2026-02,Daegu,Beauty,56000,740,16,5200,4.3
2026-03,Seoul,Electronics,138000,910,18,13000,4.6
2026-03,Busan,Electronics,97000,670,14,9000,4.4
2026-03,Daegu,Electronics,80000,570,12,7400,4.3
2026-03,Seoul,Beauty,108000,1360,27,9800,4.7
2026-03,Busan,Beauty,78000,980,20,7000,4.5
2026-03,Daegu,Beauty,59000,770,16,5400,4.3
2026-04,Seoul,Electronics,145000,950,18,13500,4.6
2026-04,Busan,Electronics,101000,700,15,9400,4.4
2026-04,Daegu,Electronics,84000,600,13,7600,4.3
2026-04,Seoul,Beauty,114000,1430,29,10100,4.7
2026-04,Busan,Beauty,82000,1030,21,7200,4.5
2026-04,Daegu,Beauty,62000,800,17,5600,4.4
2026-05,Seoul,Electronics,152000,1000,19,14000,4.7
2026-05,Busan,Electronics,106000,730,16,9800,4.5
2026-05,Daegu,Electronics,88000,620,13,7900,4.4
2026-05,Seoul,Beauty,120000,1500,30,10500,4.7
2026-05,Busan,Beauty,86000,1070,21,7500,4.5
2026-05,Daegu,Beauty,65000,830,18,5800,4.4
2026-06,Seoul,Electronics,160000,1050,20,14500,4.7
2026-06,Busan,Electronics,112000,760,17,10200,4.5
2026-06,Daegu,Electronics,92000,650,14,8200,4.4
2026-06,Seoul,Beauty,126000,1580,31,11000,4.8
2026-06,Busan,Beauty,90000,1110,22,7800,4.6
2026-06,Daegu,Beauty,69000,870,19,6000,4.5
